Author,Comment,Published At
@stevensuoth5534,Beda min..mana bisa menyamakan israel dan rohingya..apa anda mmg tdk mau membaca sejarah israel?palestina hanya numpang tinggal di negara yg di tinggalkan umat yahudi karna mmg suda di nubuatkan Tuhan..jd apakah tana yg di tingalkan lalu di ambil kembali itu salah?😊,2024-02-07T10:24:09Z
@sarahayunda7540,Iya benar sekali usir rohingya mereka tidak pantas di indonesia,2024-02-07T07:46:21Z
@mikomuso8061,"Mantap konten nya Bos , semangat dan sehat selalu",2024-02-07T04:56:23Z
@SidiqMaulana-zw5pw,Kalo mereka datang lagi kenapa gak di bom kapalnya 🗿,2024-02-07T04:28:43Z
@ernierron5013,Indonesia 🇮🇩 hrs Tetap Waspada.❤️🇮🇩💪💪🤗🙏,2024-02-06T23:39:49Z
@BangBarana,"&quot;betul sekali,dari awal² atau ketika mereka datang ditanah Aceh aku sudah merasa ada yg berbeda dari para pengungsi Rohingya itu karna mereka tak mengesankan sebagai pengungsi pada umumnya...",2024-02-06T13:59:31Z
@royalbanjarsonblesswinner4917,Na&#39;udzubillaahi min dzaalik,2024-02-06T04:38:33Z
@mirfanmaulanairsyad8568,Sebenarnya asal mereka tidak berbuat rusuh dan mau bekerja sama rakyat Indonesia dengan senang hati menolongnya karena ajaran agama itu saling tolong menolong dalam hal kebaikan,2024-02-06T02:41:22Z
@Telang266,"Betul tu KLU org Islam TK bersikap  mcmtu , akhlak buruk , kebanyakan mereka menyamar islam",2024-02-05T14:45:19Z
@Tintin-vy9em,"ingat dlu leluhur kita dijajah belanda melawan,karna apa? karna ingin memperjuangkan tanah air sendiri dan hak sendiri.beda dgn rohingya.tanah air mereka seperti tidak berharga untuk dipertahankan,dan mereka tidak melawan,malah pergi dan meminta minta ke org lain",2024-02-05T13:40:15Z
@dennyteguhherlambang2823,gk sudi lihat rohingny.<br>gk berguna manusia gk da guna<br>indonesia akan diberontak nnti sm rohingny.percayalah.sebelum terlambat usir rohingnya dr indonesia,2024-02-05T05:55:18Z
@Fifa_FC24.,Agama membawa pada hari kiamat  dan Harta tidak boleh membawa ke surga,2024-02-04T14:56:05Z
@mamahfatimah23,Usir rohing jauh jauh barang kali dia disuruh oleh israel atou as awas jangan masuk lagi kaindonesia hati hati waspadapemerentah jangan lengah,2024-02-04T14:55:06Z
@aristogabrielvivo5281,Dulu Indonesia yang negara utama yang paling keras membela mereka kok sekarang berbalik membenci mereka. Dasar kadrun kadrun.....,2024-02-04T03:38:22Z
@KakaPutra-pk7wf,Ada banyak yg mengatas namakan agama demi kepentingan,2024-02-03T23:22:49Z
@zhepszufrees5494,Setujuuuuu☝️☝️☝️☝️💪💪💪,2024-02-03T17:33:49Z
@ogyokamulia3184,"sangat setuju dgn masuk akal jgn sampe kyak sdr2kita yg di palestina dikasih hati maunya jantung berhati2lah wahai,sdr2seimanku",2024-02-03T12:09:05Z
@asekenal,"😢 ingat kisah para nabi dulu. Saat para bani isriwil di b*ntai oleh kaum Fir&#39;aun, dan nabi-nabi menolong mereka lalu mereka(isriwil) meminta makanan, minum, dll. tapi nabi kecewa sama mereka(isriwil) karena mereka membuat patung lembu &amp; melukai sampai ingin memb*nuh para nabi yg menolong mereka(isriwil).<br>Dan sampai saat ini mereka(isriwil) malah semakin menjadi-jadi.",2024-02-03T12:03:41Z
@Senja-1978,Maantab min saya dukung,2024-02-03T06:10:15Z
@KimMi-Kyung66,Kalo Israel sama Palestine kan itu dulu banget belum canggih gk ada persenjataan paling terbatas sekarang canggih ada tentara militer tinggal tembak aja semua tuh pake bom nuklir,2024-02-02T04:34:09Z
@HSW-w9k,"sifatnya seperti Yajud wa Majud rakus,tamak,serakah,tidak berakhlak,tidak bermoral,tidak beriman",2024-02-01T21:45:25Z
@dena4467,Usir rohinya.<br>Mereka bukan umat Islam,2024-02-01T17:12:24Z
@MuhdSabri-h2b,"Btl rohingnya mcm zionis israel mula2 mri di palestin haya menupang,skrg lihat warga negara sndri yg di halau oleh zionis yg mula2 mri di negara org haya ingin menupang,rohingnya npk nk jadi mcm zionis di malaysia ini,elok tankap antar lah di tmpat asal nye",2024-02-01T15:53:36Z
@mamatmamat9590,"Benar, sangat benar berhati hati dengan mereka ini sangat bahaya😡",2024-02-01T13:57:47Z
@dedi8991,"Apabila meresahkan dan mengganggu, ditembak saja. Atau biar cepat diBOM saja. Itu saja kok repot.",2024-02-01T13:14:21Z
@00.01PM,Setuju,2024-02-01T10:35:44Z
@00.01PM,Betul sekali,2024-02-01T10:35:32Z
@duniamenujupdiii8979,"narasi negativ &amp; fitnah yang luar biasa terhadap sesama muslim. ingat, muslim rohingya itu tertindas dgn kejam &amp; islam dilarang disana slma puluhan tahun hingga mereka tdk bs mengenyam ilmu agama",2024-02-01T02:36:07Z
@AndyMulyadi-rz4zs,Usir dan pulangkan saja ketempat asalnya. Enak aja minta tanah di bumi Pertiwi. Emang warisan bapa moyangnya.,2024-01-31T19:42:58Z
@PhoneRedmi-yq6mn,"Tidak semua org yahudi n Israel spt yang kamu maksudkan...Yg Kriminal itu adalh Zoint Israel yg dibentuk olh Elit Global ...begitu juga pelarian Rohinya yg seolah2 jd mangsa utk propaganda baru NWO bg cetuskan perang saraf dlm Masyarakat Malaysia....Sama juga di Indonesia -Ada China Tiongkok, Ada Ziont  Israel yg menyusup dibelakang Tabir pemerintahan bukan cuma Malaysia saja....Ini Adalh Krisis PROPAGANDA RESET OLH ELIT GLOBAL BUAT 1 DUNIA LOOO....INDONESIA WAJIB WASPADAI!!!!",2024-01-31T13:46:16Z
@PhoneRedmi-yq6mn,"YG MUNAFIK ADALAH KAPALA NEGARA  N DUNIA...YG BERSEKONGKOL DGN MAFIA DUNIA...SEANDAINYA PBB MENJADI PEMBELA ..TENTU MASALAH UMMAT ISLAM &amp; KEMANUSIAAN BUKAN SAJA ROHINYA MALAH PALESTIN,SYRIA,UIGHUR,YAMAN, IRAQ ,AFRICA, OBORIGIN AUSTRALIA, RED INDIAN AMERIKA DLL DI DUNIA  AKAN MUDAH DIATASI..DUNIA AKAN AMAN ...TANPA PERANG-TIADA PENGUNGSI, TIADA GENOSIDE TIADA PROPAGANDA IDEOLOGI ZIONISME &amp; KOMUNISME ......KAYAK KAMU PUNYA OMONGAN SPT MAHU *CETUSKAN PROVOKASI*..  APA NIAT ANDA SBNRNYA????!!!",2024-01-31T13:40:23Z
@takursing8899,tinggal nunggu reaksi pemerintah kita..rakyat sudah jelas menolak Rohingya tp pemerintah malah menampung...,2024-01-31T11:25:09Z
@rahmawatirahmawati2313,Betul....,2024-01-31T02:41:13Z
